Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
40,0.42630352,0.10269282,0.00000595,0.4732,0.6472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4718,0.0000,0.0000,0.0000,0.0000,0.0000,246.5841,512,0.15,0.9600,15.0,0,2,12,0.000000
41,0.41846948,0.11692495,0.00000589,0.4337,0.6280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4714,0.0000,0.0000,0.0000,0.0000,0.0000,243.6573,512,0.15,0.9600,15.0,0,2,12,0.000000
42,0.42958985,0.11923343,0.00000582,0.5067,0.6609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4611,0.0000,0.0000,0.0000,0.0000,0.0000,249.1559,512,0.30,0.9600,15.0,0,2,12,0.000000
43,0.42803271,0.10862385,0.00000570,0.4630,0.6426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4818,0.0000,0.0000,0.0000,0.0000,0.0000,245.6428,512,0.30,0.9600,15.0,0,2,12,0.000000
44,0.42383530,0.11601586,0.00000557,0.5121,0.6572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4782,0.0000,0.0000,0.0000,0.0000,0.0000,248.8998,512,0.30,0.9600,15.0,0,2,12,0.000000
45,0.42220406,0.09792851,0.00000544,0.5366,0.6885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4429,0.0000,0.0000,0.0000,0.0000,0.0000,252.3974,512,0.30,0.9600,15.0,0,2,12,0.000000
46,0.42603907,0.11391416,0.00001000,0.5463,0.6734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5208,0.0000,0.0000,0.0000,0.0000,0.0000,250.5728,512,0.45,0.9600,15.0,0,2,12,0.000000
47,0.42312670,0.12507778,0.00001341,0.5247,0.6512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4842,0.0000,0.0000,0.0000,0.0000,0.0000,249.1086,512,0.45,0.9600,15.0,0,2,12,0.000000
48,0.41956190,0.10757803,0.00001329,0.5345,0.6602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4613,0.0000,0.0000,0.0000,0.0000,0.0000,250.5078,512,0.45,0.9600,15.0,0,2,12,0.000000
49,0.41929585,0.11251207,0.00001316,0.5759,0.6717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4564,0.0000,0.0000,0.0000,0.0000,0.0000,253.2531,512,0.45,0.9600,15.0,0,2,12,0.000000
