Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
32,0.15692176,0.21512217,0.00005885,0.4543,0.4505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5847,0.0000,0.0000,0.0000,0.0000,0.0000,45.2409,224,1.00,0.5680,15.0,0,30,1,0.000000
33,0.15425162,0.21312439,0.00005876,0.4661,0.4557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5780,0.0000,0.0000,0.0000,0.0000,0.0000,46.0941,224,1.00,0.5566,15.0,0,30,1,0.000000
34,0.15084608,0.22364751,0.00005867,0.4535,0.4369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5812,0.0000,0.0000,0.0000,0.0000,0.0000,44.5243,224,1.00,0.5455,15.0,0,30,1,0.000000
35,0.17095592,0.21428762,0.00005858,0.4450,0.4423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5863,0.0000,0.0000,0.0000,0.0000,0.0000,44.3659,224,1.00,0.5455,15.0,0,30,1,0.000000
36,0.16866715,0.23100118,0.00005848,0.4418,0.4455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5862,0.0000,0.0000,0.0000,0.0000,0.0000,44.3625,224,1.00,0.5346,15.0,0,30,1,0.000000
37,0.16631035,0.20837934,0.00005837,0.4539,0.4593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5879,0.0000,0.0000,0.0000,0.0000,0.0000,45.6564,224,1.00,0.5239,15.0,0,30,1,0.000000
38,0.16452555,0.21105362,0.00005827,0.4608,0.4557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5861,0.0000,0.0000,0.0000,0.0000,0.0000,45.8223,224,1.00,0.5134,15.0,0,30,1,0.000000
39,0.18597718,0.20660948,0.00008724,0.3992,0.4437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5995,0.0000,0.0000,0.0000,0.0000,0.0000,42.1429,224,1.00,0.5031,15.0,0,30,1,0.000000
40,0.18116578,0.19887001,0.00007429,0.4559,0.4639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5893,0.0000,0.0000,0.0000,0.0000,0.0000,45.9929,224,1.00,0.5031,15.0,5,30,1,0.000000
41,0.17853326,0.20092697,0.00007421,0.4566,0.4566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5918,0.0000,0.0000,0.0000,0.0000,0.0000,45.6606,224,1.00,0.5031,15.0,4,30,1,0.000000
